,city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
0,Adelanto,34.57611111111112,-117.43277777777779,875.0,2871.0,31765,56.027,56.00899999999999,0.018000000000000002,145.107,145.062,0.046,0.03
1,AgouraHills,34.15333333333333,-118.76166666666667,281.0,922.0,20330,7.822,7.792999999999999,0.028999999999999998,20.26,20.184,0.076,0.37
2,Alameda,37.75611111111111,-122.27444444444444,,33.0,75467,22.96,10.610999999999999,12.349,59.465,27.482,31.983,53.79
3,Albany,37.886944444444445,-122.29777777777778,,43.0,18969,5.465,1.788,3.677,14.155,4.632,9.524,67.28
4,Alhambra,34.081944444444446,-118.135,150.0,492.0,83089,7.632000000000001,7.631,0.001,19.766,19.762999999999998,0.003,0.01
5,AlisoViejo,33.575,-117.72555555555556,127.0,417.0,47823,7.472,7.472,0.0,19.352,19.352,0.0,0.0
6,Alturas,41.48722222222222,-120.5425,1332.0,4370.0,2827,2.449,2.435,0.013999999999999999,6.3420000000000005,6.306,0.036000000000000004,0.57
7,AmadorCity,38.419444444444444,-120.82416666666666,280.0,919.0,185,0.314,0.314,0.0,0.813,0.813,0.0,0.0
8,AmericanCanyon,38.168055555555554,-122.2525,14.0,46.0,19454,4.845,4.837,0.008,12.548,12.527000000000001,0.021,0.17
9,Anaheim,33.836111111111116,-117.88972222222223,48.0,157.0,336000,50.81100000000001,49.835,0.976,131.6,129.07299999999998,2.5269999999999997,1.92
10,Anderson,40.452222222222225,-122.29666666666667,132.0,430.0,9932,6.62,6.372000000000001,0.248,17.145,16.504,0.642,3.74
11,AngelsCamp,38.068333333333335,-120.53972222222222,420.0,1378.0,3836,3.637,3.628,0.009000000000000001,9.421,9.397,0.024,0.25
12,Antioch,38.005,-121.80583333333333,13.0,43.0,107100,29.083000000000002,28.349,0.7340000000000001,75.324,73.422,1.902,2.52
13,AppleValley,34.516666666666666,-117.21666666666667,898.0,2946.0,69135,73.523,73.193,0.33,190.426,189.57,0.856,0.45
14,Arcadia,34.132777777777775,-118.0363888888889,147.0,482.0,56364,11.133,10.925,0.20800000000000002,28.836,28.296,0.54,1.87
15,Arcata,40.86638888888889,-124.08277777777778,,23.0,17231,10.994000000000002,9.097000000000001,1.8969999999999998,28.473000000000003,23.561,4.912,17.25
